date,time,windcode,term,voltype,bidvol,askvol,midvol
2024-10-21,16:00:00,USDCNY.IB,720D,ATM,5.15,5.75,5.45
2024-10-21,16:00:00,USDCNY.IB,7D,ATM,3.6,4.2,3.7
2024-10-21,16:00:00,USDCNY.IB,90D,ATM,5.85,6.0,5.925
2024-10-23,16:00:00,USDCNY.IB,180D,ATM,5.3,5.425,5.4
2024-10-23,16:00:00,USDCNY.IB,30D,ATM,6.55,6.8,6.638
2024-10-23,16:00:00,USDCNY.IB,360D,ATM,5.248,5.248,5.248
2024-10-23,16:00:00,USDCNY.IB,540D,ATM,5.3,5.4,5.35
2024-10-23,16:00:00,USDCNY.IB,720D,ATM,5.15,5.75,5.45
2024-10-23,16:00:00,USDCNY.IB,7D,ATM,3.2,3.8,3.5
2024-10-23,16:00:00,USDCNY.IB,90D,ATM,5.8,5.95,5.875
2024-10-24,16:00:00,USDCNY.IB,180D,ATM,5.4,5.4,5.4
2024-10-24,16:00:00,USDCNY.IB,30D,ATM,6.3,6.5,6.462
2024-10-24,16:00:00,USDCNY.IB,360D,ATM,5.2,5.275,5.25
2024-10-24,16:00:00,USDCNY.IB,540D,ATM,5.3,5.4,5.35
2024-10-24,16:00:00,USDCNY.IB,720D,ATM,5.15,5.75,5.45
2024-10-24,16:00:00,USDCNY.IB,7D,ATM,2.8,3.8,3.6
2024-10-24,16:00:00,USDCNY.IB,90D,ATM,5.8,5.9,5.862
2024-10-25,16:00:00,USDCNY.IB,180D,ATM,5.35,5.45,5.416
2024-10-25,16:00:00,USDCNY.IB,30D,ATM,6.3,6.6,6.406
2024-10-25,16:00:00,USDCNY.IB,360D,ATM,5.2,5.235,5.231
2024-10-25,16:00:00,USDCNY.IB,540D,ATM,5.35,5.35,5.35
2024-10-25,16:00:00,USDCNY.IB,720D,ATM,5.13,5.72,5.425
2024-10-25,16:00:00,USDCNY.IB,7D,ATM,3.2,3.8,3.503
2024-10-25,16:00:00,USDCNY.IB,90D,ATM,5.8,5.85,5.85
2024-10-28,16:00:00,USDCNY.IB,180D,ATM,5.375,5.45,5.4057
2024-10-28,16:00:00,USDCNY.IB,30D,ATM,6.35,6.8,6.4237
2024-10-28,16:00:00,USDCNY.IB,360D,ATM,5.2369,5.2369,5.2369
2024-10-28,16:00:00,USDCNY.IB,540D,ATM,5.13,5.72,5.425
2024-10-28,16:00:00,USDCNY.IB,720D,ATM,5.13,5.72,5.425
2024-10-28,16:00:00,USDCNY.IB,7D,ATM,3.5,4.1,3.8723
2024-10-28,16:00:00,USDCNY.IB,90D,ATM,5.775,5.9,5.8359
2024-10-29,16:00:00,USDCNY.IB,180D,ATM,5.5,5.5,5.5
2024-10-29,16:00:00,USDCNY.IB,30D,ATM,7.0,7.5,7.0053
2024-10-29,16:00:00,USDCNY.IB,360D,ATM,5.25,5.3,5.275
2024-10-29,16:00:00,USDCNY.IB,540D,ATM,5.13,5.72,5.425
2024-10-29,16:00:00,USDCNY.IB,720D,ATM,5.13,5.72,5.425
2024-10-29,16:00:00,USDCNY.IB,7D,ATM,4.35,4.35,4.35
2024-10-29,16:00:00,USDCNY.IB,90D,ATM,6.0,6.1,6.0217
2024-10-30,16:00:00,USDCNY.IB,180D,ATM,5.45,5.525,5.5
2024-10-30,16:00:00,USDCNY.IB,30D,ATM,7.0,7.45,7.225
2024-10-30,16:00:00,USDCNY.IB,360D,ATM,5.275,5.325,5.2985
2024-10-30,16:00:00,USDCNY.IB,540D,ATM,5.17,5.78,5.475
2024-10-30,16:00:00,USDCNY.IB,720D,ATM,5.17,5.78,5.475
2024-10-30,16:00:00,USDCNY.IB,7D,ATM,8.7,9.3,9.0
2024-10-30,16:00:00,USDCNY.IB,90D,ATM,5.9,6.1,6.0401
2024-10-31,16:00:00,USDCNY.IB,180D,ATM,5.35,5.6,5.3625
2024-10-31,16:00:00,USDCNY.IB,30D,ATM,6.6,7.3,6.95
2024-10-31,16:00:00,USDCNY.IB,360D,ATM,5.1,5.2,5.187
2024-10-31,16:00:00,USDCNY.IB,540D,ATM,4.9,5.5,5.2
2024-10-31,16:00:00,USDCNY.IB,720D,ATM,4.9,5.5,5.2
2024-10-31,16:00:00,USDCNY.IB,7D,ATM,6.6,9.0,7.8
2024-10-31,16:00:00,USDCNY.IB,90D,ATM,5.75,6.0,5.8667
2024-11-01,16:00:00,USDCNY.IB,180D,ATM,5.25,5.325,5.275
2024-11-01,16:00:00,USDCNY.IB,30D,ATM,6.7576,6.7576,6.7576
2024-11-01,16:00:00,USDCNY.IB,360D,ATM,5.15,5.15,5.15
2024-11-01,16:00:00,USDCNY.IB,540D,ATM,4.9,5.5,5.2
2024-11-01,16:00:00,USDCNY.IB,720D,ATM,4.9,5.5,5.2
2024-11-01,16:00:00,USDCNY.IB,7D,ATM,7.5,10.0,8.75
2024-11-01,16:00:00,USDCNY.IB,90D,ATM,5.65,5.7,5.658
2024-11-04,16:00:00,USDCNY.IB,180D,ATM,5.15,5.225,5.2079
2024-11-04,16:00:00,USDCNY.IB,30D,ATM,6.8,7.1,6.9186
2024-11-04,16:00:00,USDCNY.IB,360D,ATM,5.125,5.125,5.125
2024-11-04,16:00:00,USDCNY.IB,540D,ATM,4.9,5.5,5.2
2024-11-04,16:00:00,USDCNY.IB,720D,ATM,4.9,5.5,5.2
2024-11-04,16:00:00,USDCNY.IB,7D,ATM,7.5,10.0,9.9
2024-11-04,16:00:00,USDCNY.IB,90D,ATM,5.35,5.6,5.5082
2024-11-05,16:00:00,USDCNY.IB,180D,ATM,5.05,5.3,5.1963
2024-11-05,16:00:00,USDCNY.IB,30D,ATM,7.0,7.2,7.1303
2024-11-05,16:00:00,USDCNY.IB,360D,ATM,5.1125,5.1125,5.1125
2024-11-05,16:00:00,USDCNY.IB,540D,ATM,4.9,5.5,5.2
2024-11-05,16:00:00,USDCNY.IB,720D,ATM,4.9,5.5,5.2
2024-11-05,16:00:00,USDCNY.IB,7D,ATM,7.0,12.5,9.75
2024-11-05,16:00:00,USDCNY.IB,90D,ATM,5.45,5.55,5.5007
2024-11-06,16:00:00,USDCNY.IB,180D,ATM,4.875,5.05,4.9597
2024-11-06,16:00:00,USDCNY.IB,30D,ATM,5.6,5.85,5.75
2024-11-06,16:00:00,USDCNY.IB,360D,ATM,4.9,5.0,4.9464
2024-11-06,16:00:00,USDCNY.IB,540D,ATM,4.9,5.5,5.2
2024-11-06,16:00:00,USDCNY.IB,720D,ATM,4.9,5.5,5.2
2024-11-06,16:00:00,USDCNY.IB,7D,ATM,7.0,12.5,9.75
2024-11-06,16:00:00,USDCNY.IB,90D,ATM,4.9,5.0,5.0
2024-11-07,16:00:00,USDCNY.IB,180D,ATM,4.825,4.95,4.8926
2024-11-07,16:00:00,USDCNY.IB,30D,ATM,5.0,5.3,5.1391
2024-11-07,16:00:00,USDCNY.IB,360D,ATM,4.825,4.925,4.92
2024-11-07,16:00:00,USDCNY.IB,540D,ATM,5.075,5.075,5.075
2024-11-07,16:00:00,USDCNY.IB,720D,ATM,5.075,5.075,5.075
2024-11-07,16:00:00,USDCNY.IB,7D,ATM,5.0,10.0,6.0625
2024-11-07,16:00:00,USDCNY.IB,90D,ATM,4.825,4.9,4.8625
2024-11-08,16:00:00,USDCNY.IB,180D,ATM,4.925,4.975,4.95
2024-11-08,16:00:00,USDCNY.IB,30D,ATM,4.9,5.25,5.1633
2024-11-08,16:00:00,USDCNY.IB,360D,ATM,4.9372,4.9372,4.9372
2024-11-08,16:00:00,USDCNY.IB,540D,ATM,5.075,5.075,5.075
2024-11-08,16:00:00,USDCNY.IB,720D,ATM,5.075,5.075,5.075
2024-11-08,16:00:00,USDCNY.IB,7D,ATM,5.0,10.0,6.0718
2024-11-08,16:00:00,USDCNY.IB,90D,ATM,4.875,4.95,4.9004
2024-11-11,16:00:00,USDCNY.IB,180D,ATM,4.8,5.05,4.9286
2024-11-11,16:00:00,USDCNY.IB,30D,ATM,4.9,5.1,5.0
2024-11-11,16:00:00,USDCNY.IB,360D,ATM,4.9665,4.9665,4.9665
2024-11-11,16:00:00,USDCNY.IB,540D,ATM,5.075,5.075,5.075
2024-11-11,16:00:00,USDCNY.IB,720D,ATM,5.075,5.075,5.075
2024-11-11,16:00:00,USDCNY.IB,7D,ATM,4.8,5.4,5.2278
2024-11-11,16:00:00,USDCNY.IB,90D,ATM,4.85,4.975,4.9292
2024-11-12,16:00:00,USDCNY.IB,180D,ATM,5.0,5.15,5.1069
2024-11-12,16:00:00,USDCNY.IB,30D,ATM,5.0,5.4,5.2584
2024-11-12,16:00:00,USDCNY.IB,360D,ATM,5.1288,5.1288,5.1288
2024-11-12,16:00:00,USDCNY.IB,540D,ATM,4.8,5.35,5.075
2024-11-12,16:00:00,USDCNY.IB,720D,ATM,4.8,5.35,5.075
2024-11-12,16:00:00,USDCNY.IB,7D,ATM,5.0,5.6,5.3
2024-11-12,16:00:00,USDCNY.IB,90D,ATM,5.0,5.15,5.0838
2024-11-13,16:00:00,USDCNY.IB,180D,ATM,5.0,5.1,5.0
2024-11-13,16:00:00,USDCNY.IB,30D,ATM,4.5,5.0,4.75
2024-11-13,16:00:00,USDCNY.IB,360D,ATM,5.0571,5.0571,5.0571
2024-11-13,16:00:00,USDCNY.IB,540D,ATM,4.8,5.35,5.075
2024-11-13,16:00:00,USDCNY.IB,720D,ATM,4.8,5.35,5.075
2024-11-13,16:00:00,USDCNY.IB,7D,ATM,5.0,5.8,5.4
2024-11-13,16:00:00,USDCNY.IB,90D,ATM,4.825,5.0,4.9
2024-11-14,16:00:00,USDCNY.IB,180D,ATM,4.9,5.2,5.0035
2024-11-14,16:00:00,USDCNY.IB,30D,ATM,4.1,4.35,4.332
2024-11-14,16:00:00,USDCNY.IB,360D,ATM,5.1,5.1,5.1
2024-11-14,16:00:00,USDCNY.IB,540D,ATM,4.8,5.35,5.075
2024-11-14,16:00:00,USDCNY.IB,720D,ATM,4.8,5.35,5.075
2024-11-14,16:00:00,USDCNY.IB,7D,ATM,3.9,5.0,4.45
2024-11-14,16:00:00,USDCNY.IB,90D,ATM,4.65,4.85,4.8001
2024-11-15,16:00:00,USDCNY.IB,180D,ATM,5.0,5.05,5.05
2024-11-15,16:00:00,USDCNY.IB,30D,ATM,4.2,4.55,4.2462
2024-11-15,16:00:00,USDCNY.IB,360D,ATM,5.15,5.15,5.15
2024-11-15,16:00:00,USDCNY.IB,540D,ATM,4.9,5.35,5.125
2024-11-15,16:00:00,USDCNY.IB,720D,ATM,4.9,5.35,5.125
2024-11-15,16:00:00,USDCNY.IB,7D,ATM,3.8,4.5,4.2
2024-11-15,16:00:00,USDCNY.IB,90D,ATM,4.7,4.8,4.742
2024-11-18,16:00:00,USDCNY.IB,180D,ATM,5.0,5.075,5.0195
2024-11-18,16:00:00,USDCNY.IB,30D,ATM,3.9,4.3,4.2
2024-11-18,16:00:00,USDCNY.IB,360D,ATM,5.15,5.15,5.15
2024-11-18,16:00:00,USDCNY.IB,540D,ATM,5.175,5.175,5.175
2024-11-18,16:00:00,USDCNY.IB,720D,ATM,5.175,5.175,5.175
2024-11-18,16:00:00,USDCNY.IB,7D,ATM,3.3,5.3,4.3
2024-11-18,16:00:00,USDCNY.IB,90D,ATM,4.6,4.85,4.7379
2024-11-19,16:00:00,USDCNY.IB,180D,ATM,4.9,5.15,5.025
2024-11-19,16:00:00,USDCNY.IB,30D,ATM,4.1789,4.1789,4.1789
2024-11-19,16:00:00,USDCNY.IB,360D,ATM,5.15,5.15,5.15
2024-11-19,16:00:00,USDCNY.IB,540D,ATM,5.175,5.175,5.175
2024-11-19,16:00:00,USDCNY.IB,720D,ATM,5.175,5.175,5.175
2024-11-19,16:00:00,USDCNY.IB,7D,ATM,3.3,5.3,4.3
2024-11-19,16:00:00,USDCNY.IB,90D,ATM,4.6,4.85,4.6865
2024-11-20,16:00:00,USDCNY.IB,180D,ATM,5.0,5.4,5.2
2024-11-20,16:00:00,USDCNY.IB,30D,ATM,3.8,4.15,3.975
2024-11-20,16:00:00,USDCNY.IB,360D,ATM,4.6,5.135,5.1293
2024-11-20,16:00:00,USDCNY.IB,540D,ATM,5.225,5.225,5.225
2024-11-20,16:00:00,USDCNY.IB,720D,ATM,5.225,5.225,5.225
2024-11-20,16:00:00,USDCNY.IB,7D,ATM,3.3,4.0,3.65
2024-11-20,16:00:00,USDCNY.IB,90D,ATM,4.55,4.65,4.5994
2024-11-21,16:00:00,USDCNY.IB,180D,ATM,5.1162,5.1162,5.1162
2024-11-21,16:00:00,USDCNY.IB,30D,ATM,3.9578,3.9578,3.9578
2024-11-21,16:00:00,USDCNY.IB,360D,ATM,5.2121,5.2121,5.2121
2024-11-21,16:00:00,USDCNY.IB,540D,ATM,5.225,5.225,5.225
2024-11-21,16:00:00,USDCNY.IB,720D,ATM,5.225,5.225,5.225
2024-11-21,16:00:00,USDCNY.IB,7D,ATM,3.2,3.8,3.5
2024-11-21,16:00:00,USDCNY.IB,90D,ATM,4.7,4.8,4.75
2024-11-22,16:00:00,USDCNY.IB,180D,ATM,5.225,5.225,5.225
2024-11-22,16:00:00,USDCNY.IB,30D,ATM,3.75,4.05,3.9
2024-11-22,16:00:00,USDCNY.IB,360D,ATM,5.2903,5.2903,5.2903
2024-11-22,16:00:00,USDCNY.IB,540D,ATM,5.225,5.225,5.225
2024-11-22,16:00:00,USDCNY.IB,720D,ATM,5.225,5.225,5.225
2024-11-22,16:00:00,USDCNY.IB,7D,ATM,3.2,3.7,3.45
2024-11-22,16:00:00,USDCNY.IB,90D,ATM,4.8,4.9,4.825
2024-11-25,16:00:00,USDCNY.IB,180D,ATM,5.2,5.3,5.2262
2024-11-25,16:00:00,USDCNY.IB,30D,ATM,3.75,4.2,3.975
2024-11-25,16:00:00,USDCNY.IB,360D,ATM,5.3182,5.3182,5.3182
2024-11-25,16:00:00,USDCNY.IB,540D,ATM,5.2,5.7,5.45
2024-11-25,16:00:00,USDCNY.IB,720D,ATM,5.2,5.7,5.45
2024-11-25,16:00:00,USDCNY.IB,7D,ATM,3.0,3.9,3.1
2024-11-25,16:00:00,USDCNY.IB,90D,ATM,4.9,4.95,4.9
2024-11-26,16:00:00,USDCNY.IB,180D,ATM,5.35,5.5,5.3809
2024-11-26,16:00:00,USDCNY.IB,30D,ATM,3.8,4.3,4.075
2024-11-26,16:00:00,USDCNY.IB,360D,ATM,5.525,5.6,5.525
2024-11-26,16:00:00,USDCNY.IB,540D,ATM,5.2,5.7,5.45
2024-11-26,16:00:00,USDCNY.IB,720D,ATM,5.2,5.7,5.45
2024-11-26,16:00:00,USDCNY.IB,7D,ATM,2.6,3.45,3.3177
2024-11-26,16:00:00,USDCNY.IB,90D,ATM,4.9,5.3,5.1
2024-11-27,16:00:00,USDCNY.IB,180D,ATM,5.6,5.75,5.65
2024-11-27,16:00:00,USDCNY.IB,30D,ATM,3.9,4.25,4.075
2024-11-27,16:00:00,USDCNY.IB,360D,ATM,5.7,5.8,5.7
2024-11-27,16:00:00,USDCNY.IB,540D,ATM,5.4,5.9,5.65
2024-11-27,16:00:00,USDCNY.IB,720D,ATM,5.4,5.9,5.65
2024-11-27,16:00:00,USDCNY.IB,7D,ATM,3.0,3.6,3.2
2024-11-27,16:00:00,USDCNY.IB,90D,ATM,4.7,5.6,5.25
2024-11-28,16:00:00,USDCNY.IB,180D,ATM,5.5842,5.5842,5.5842
2024-11-28,16:00:00,USDCNY.IB,30D,ATM,3.85,4.15,4.0626
2024-11-28,16:00:00,USDCNY.IB,360D,ATM,5.6125,5.6125,5.6125
2024-11-28,16:00:00,USDCNY.IB,540D,ATM,5.5,6.0,5.75
2024-11-28,16:00:00,USDCNY.IB,720D,ATM,5.5,6.0,5.8059
2024-11-28,16:00:00,USDCNY.IB,7D,ATM,3.2,3.7,3.4
2024-11-28,16:00:00,USDCNY.IB,90D,ATM,4.9,5.4,5.2667
2024-11-29,16:00:00,USDCNY.IB,180D,ATM,5.45,5.65,5.55
2024-11-29,16:00:00,USDCNY.IB,30D,ATM,3.8,4.2,4.0
2024-11-29,16:00:00,USDCNY.IB,360D,ATM,5.5,5.7,5.6319
2024-11-29,16:00:00,USDCNY.IB,540D,ATM,5.5,6.0,5.75
2024-11-29,16:00:00,USDCNY.IB,720D,ATM,5.5,6.0,5.7213
2024-11-29,16:00:00,USDCNY.IB,7D,ATM,3.2,3.7,3.45
2024-11-29,16:00:00,USDCNY.IB,90D,ATM,5.1,5.4,5.25
2024-12-02,16:00:00,USDCNY.IB,180D,ATM,5.45,5.75,5.6743
2024-12-02,16:00:00,USDCNY.IB,30D,ATM,3.9,4.3,4.0275
2024-12-02,16:00:00,USDCNY.IB,360D,ATM,5.65,5.85,5.7211
2024-12-02,16:00:00,USDCNY.IB,540D,ATM,5.5,6.0,5.75
2024-12-02,16:00:00,USDCNY.IB,720D,ATM,5.5,6.0,5.75
2024-12-02,16:00:00,USDCNY.IB,7D,ATM,3.6,4.3,3.6167
2024-12-02,16:00:00,USDCNY.IB,90D,ATM,5.0,5.5,5.25
2024-12-03,16:00:00,USDCNY.IB,180D,ATM,5.95,6.15,6.05
2024-12-03,16:00:00,USDCNY.IB,30D,ATM,4.8,5.65,5.0002
2024-12-03,16:00:00,USDCNY.IB,360D,ATM,6.0,6.25,6.1734
2024-12-03,16:00:00,USDCNY.IB,540D,ATM,5.8,6.8,6.3
2024-12-03,16:00:00,USDCNY.IB,720D,ATM,5.8,6.8,6.3
2024-12-03,16:00:00,USDCNY.IB,7D,ATM,4.5,6.0,4.96
2024-12-03,16:00:00,USDCNY.IB,90D,ATM,5.5,6.1,5.8
2024-12-04,16:00:00,USDCNY.IB,180D,ATM,5.9,6.075,5.9706
2024-12-04,16:00:00,USDCNY.IB,30D,ATM,4.3,4.9,4.6701
2024-12-04,16:00:00,USDCNY.IB,360D,ATM,6.025,6.1,6.0516
2024-12-04,16:00:00,USDCNY.IB,540D,ATM,5.8,6.8,6.3
2024-12-04,16:00:00,USDCNY.IB,720D,ATM,5.8,6.8,6.3
2024-12-04,16:00:00,USDCNY.IB,7D,ATM,4.3,4.9,4.8
2024-12-04,16:00:00,USDCNY.IB,90D,ATM,5.25,5.5,5.3838
2024-12-05,16:00:00,USDCNY.IB,180D,ATM,5.85,6.05,5.9494
2024-12-05,16:00:00,USDCNY.IB,30D,ATM,4.2,4.7,4.45
2024-12-05,16:00:00,USDCNY.IB,360D,ATM,6.0635,6.0635,6.0635
2024-12-05,16:00:00,USDCNY.IB,540D,ATM,5.8,6.8,6.3
2024-12-05,16:00:00,USDCNY.IB,720D,ATM,5.8,6.8,6.3
2024-12-05,16:00:00,USDCNY.IB,7D,ATM,4.4,5.0,4.7
2024-12-05,16:00:00,USDCNY.IB,90D,ATM,5.25,5.475,5.35
2024-12-06,16:00:00,USDCNY.IB,180D,ATM,5.85,6.15,5.9688
2024-12-06,16:00:00,USDCNY.IB,30D,ATM,4.25,4.75,4.45
2024-12-06,16:00:00,USDCNY.IB,360D,ATM,6.0466,6.0466,6.0466
2024-12-06,16:00:00,USDCNY.IB,540D,ATM,5.8,6.8,6.3
2024-12-06,16:00:00,USDCNY.IB,720D,ATM,5.8,6.8,6.3
2024-12-06,16:00:00,USDCNY.IB,7D,ATM,4.5,5.1,4.8
2024-12-06,16:00:00,USDCNY.IB,90D,ATM,5.35,5.65,5.45
2024-12-09,16:00:00,USDCNY.IB,180D,ATM,5.9,6.05,5.9784
2024-12-09,16:00:00,USDCNY.IB,30D,ATM,4.45,4.65,4.55
2024-12-09,16:00:00,USDCNY.IB,360D,ATM,6.025,6.1,6.0644
2024-12-09,16:00:00,USDCNY.IB,540D,ATM,5.8,6.6,6.2
2024-12-09,16:00:00,USDCNY.IB,720D,ATM,5.8,6.6,6.2
2024-12-09,16:00:00,USDCNY.IB,7D,ATM,4.0,4.8,4.4
2024-12-09,16:00:00,USDCNY.IB,90D,ATM,5.525,5.6,5.5501
2024-12-10,16:00:00,USDCNY.IB,180D,ATM,5.85,6.15,6.0
2024-12-10,16:00:00,USDCNY.IB,30D,ATM,4.4,4.8,4.6
2024-12-10,16:00:00,USDCNY.IB,360D,ATM,6.1,6.1,6.1
2024-12-10,16:00:00,USDCNY.IB,540D,ATM,5.8,6.6,6.2
2024-12-10,16:00:00,USDCNY.IB,720D,ATM,5.8,6.6,6.2
2024-12-10,16:00:00,USDCNY.IB,7D,ATM,4.0,5.0,4.85
2024-12-10,16:00:00,USDCNY.IB,90D,ATM,5.55,5.8,5.675
2024-12-11,16:00:00,USDCNY.IB,180D,ATM,5.925,6.1,6.0125
2024-12-11,16:00:00,USDCNY.IB,30D,ATM,4.4,4.8,4.6
2024-12-11,16:00:00,USDCNY.IB,360D,ATM,6.175,6.175,6.175
2024-12-11,16:00:00,USDCNY.IB,540D,ATM,5.8,6.6,6.2
2024-12-11,16:00:00,USDCNY.IB,720D,ATM,5.8,6.6,6.2
2024-12-11,16:00:00,USDCNY.IB,7D,ATM,4.5,5.0,4.6
2024-12-11,16:00:00,USDCNY.IB,90D,ATM,5.45,5.75,5.725
2024-12-12,16:00:00,USDCNY.IB,180D,ATM,6.05,6.175,6.1125
2024-12-12,16:00:00,USDCNY.IB,30D,ATM,4.4,4.8,4.6
2024-12-12,16:00:00,USDCNY.IB,360D,ATM,6.1884,6.1884,6.1884
2024-12-12,16:00:00,USDCNY.IB,540D,ATM,5.8,6.6,6.2
2024-12-12,16:00:00,USDCNY.IB,720D,ATM,5.8,6.6,6.2
2024-12-12,16:00:00,USDCNY.IB,7D,ATM,4.5,5.2,4.9
2024-12-12,16:00:00,USDCNY.IB,90D,ATM,5.65,5.9,5.775
2024-12-13,16:00:00,USDCNY.IB,180D,ATM,6.0,6.3,6.0618
2024-12-13,16:00:00,USDCNY.IB,30D,ATM,4.25,4.4,4.348
2024-12-13,16:00:00,USDCNY.IB,360D,ATM,6.117,6.117,6.117
2024-12-13,16:00:00,USDCNY.IB,540D,ATM,5.9,6.6,6.25
2024-12-13,16:00:00,USDCNY.IB,720D,ATM,5.9,6.6,6.25
2024-12-13,16:00:00,USDCNY.IB,7D,ATM,4.1081,4.1081,4.1081
2024-12-13,16:00:00,USDCNY.IB,90D,ATM,5.65,5.85,5.7501
2024-12-16,16:00:00,USDCNY.IB,180D,ATM,5.9,6.1,5.975
