date,series,value,method,field
2020-05-29,USDCNY.IB:close,7.1455,wsd,close
2020-06-01,USDCNY.IB:close,7.134,wsd,close
2020-06-02,USDCNY.IB:close,7.1105,wsd,close
2020-06-03,USDCNY.IB:close,7.1099,wsd,close
2020-06-04,USDCNY.IB:close,7.1223,wsd,close
2020-06-05,USDCNY.IB:close,7.0866,wsd,close
2020-06-08,USDCNY.IB:close,7.0745,wsd,close
2020-06-09,USDCNY.IB:close,7.0882,wsd,close
2020-06-10,USDCNY.IB:close,7.067,wsd,close
2020-06-11,USDCNY.IB:close,7.0698,wsd,close
2020-06-12,USDCNY.IB:close,7.0745,wsd,close
2020-06-15,USDCNY.IB:close,7.0946,wsd,close
2020-06-16,USDCNY.IB:close,7.0818,wsd,close
2020-06-17,USDCNY.IB:close,7.0859,wsd,close
2020-06-18,USDCNY.IB:close,7.0812,wsd,close
2020-06-19,USDCNY.IB:close,7.078,wsd,close
2020-06-22,USDCNY.IB:close,7.077,wsd,close
2020-06-23,USDCNY.IB:close,7.065,wsd,close
2020-06-24,USDCNY.IB:close,7.0744,wsd,close
2020-06-29,USDCNY.IB:close,7.0776,wsd,close
2020-06-30,USDCNY.IB:close,7.0741,wsd,close
2020-07-01,USDCNY.IB:close,7.0611,wsd,close
2020-07-02,USDCNY.IB:close,7.0663,wsd,close
2020-07-03,USDCNY.IB:close,7.068,wsd,close
2020-07-06,USDCNY.IB:close,7.033,wsd,close
2020-07-07,USDCNY.IB:close,7.0241,wsd,close
2020-07-08,USDCNY.IB:close,7.0176,wsd,close
2020-07-09,USDCNY.IB:close,6.9862,wsd,close
2020-07-10,USDCNY.IB:close,7.0071,wsd,close
2020-07-13,USDCNY.IB:close,7.0031,wsd,close
2020-07-14,USDCNY.IB:close,7.0188,wsd,close
2020-07-15,USDCNY.IB:close,6.9886,wsd,close
2020-07-16,USDCNY.IB:close,6.9982,wsd,close
2020-07-17,USDCNY.IB:close,7.0002,wsd,close
2020-07-20,USDCNY.IB:close,6.9912,wsd,close
2020-07-21,USDCNY.IB:close,6.9936,wsd,close
2020-07-22,USDCNY.IB:close,7.0059,wsd,close
2020-07-23,USDCNY.IB:close,6.9961,wsd,close
2020-07-24,USDCNY.IB:close,7.0162,wsd,close
2020-07-27,USDCNY.IB:close,7.001,wsd,close
2020-07-28,USDCNY.IB:close,7.0072,wsd,close
2020-07-29,USDCNY.IB:close,6.9997,wsd,close
2020-07-30,USDCNY.IB:close,7.0064,wsd,close
2020-07-31,USDCNY.IB:close,6.9794,wsd,close
2020-08-03,USDCNY.IB:close,6.9773,wsd,close
2020-08-04,USDCNY.IB:close,6.982,wsd,close
2020-08-05,USDCNY.IB:close,6.953,wsd,close
2020-08-06,USDCNY.IB:close,6.9441,wsd,close
2020-08-07,USDCNY.IB:close,6.9598,wsd,close
2020-08-10,USDCNY.IB:close,6.9701,wsd,close
2020-08-11,USDCNY.IB:close,6.9519,wsd,close
2020-08-12,USDCNY.IB:close,6.9458,wsd,close
2020-08-13,USDCNY.IB:close,6.9445,wsd,close
2020-08-14,USDCNY.IB:close,6.9498,wsd,close
2020-08-17,USDCNY.IB:close,6.9417,wsd,close
