term,voltype,bidvol,askvol,midvol,date,windcode,time
540D,ATM,3.3,3.7,3.5,2025-12-19,USDCNY.IB,16:00:00
540D,10D Put,4.03,4.15,4.09,2025-12-19,USDCNY.IB,16:00:00
540D,25D Call,3.46,4.4,3.93,2025-12-19,USDCNY.IB,16:00:00
540D,10D RR,-0.3,1.0,0.35,2025-12-19,USDCNY.IB,16:00:00
540D,25D Put,3.46,3.8,3.63,2025-12-19,USDCNY.IB,16:00:00
540D,10D Call,3.73,5.15,4.44,2025-12-19,USDCNY.IB,16:00:00
540D,25D RR,0.0,0.6,0.3,2025-12-19,USDCNY.IB,16:00:00
60D,25D BF,0.11,0.31,0.21,2025-12-19,USDCNY.IB,16:00:00
60D,ATM,1.85,2.25,2.05,2025-12-19,USDCNY.IB,16:00:00
60D,25D Call,1.535,2.385,1.96,2025-12-19,USDCNY.IB,16:00:00
60D,10D BF,0.4,0.53,0.465,2025-12-19,USDCNY.IB,16:00:00
60D,10D RR,-1.3,-0.55,-0.925,2025-12-19,USDCNY.IB,16:00:00
60D,25D Put,2.385,2.735,2.56,2025-12-19,USDCNY.IB,16:00:00
60D,10D Call,1.6,2.505,2.0525,2025-12-19,USDCNY.IB,16:00:00
60D,25D RR,-0.85,-0.35,-0.6,2025-12-19,USDCNY.IB,16:00:00
60D,10D Put,2.9,3.055,2.9775,2025-12-19,USDCNY.IB,16:00:00
720D,25D Put,3.57,3.975,3.7725,2025-12-19,USDCNY.IB,16:00:00
720D,25D RR,0.1,0.75,0.425,2025-12-19,USDCNY.IB,16:00:00
720D,10D Call,3.94,5.51,4.725,2025-12-19,USDCNY.IB,16:00:00
720D,25D BF,0.17,0.45,0.31,2025-12-19,USDCNY.IB,16:00:00
720D,ATM,3.45,3.9,3.675,2025-12-19,USDCNY.IB,16:00:00
720D,25D Call,3.67,4.725,4.1975,2025-12-19,USDCNY.IB,16:00:00
720D,10D RR,-0.2,1.1,0.45,2025-12-19,USDCNY.IB,16:00:00
720D,10D BF,0.59,1.06,0.825,2025-12-19,USDCNY.IB,16:00:00
720D,10D Put,4.14,4.41,4.275,2025-12-19,USDCNY.IB,16:00:00
7D,10D Call,0.67,2.12,1.395,2025-12-19,USDCNY.IB,16:00:00
7D,10D Put,2.47,2.72,2.595,2025-12-19,USDCNY.IB,16:00:00
7D,ATM,1.45,2.0,1.725,2025-12-19,USDCNY.IB,16:00:00
7D,10D BF,0.12,0.42,0.27,2025-12-19,USDCNY.IB,16:00:00
7D,25D Put,1.85,2.35,2.1,2025-12-19,USDCNY.IB,16:00:00
7D,25D BF,0.1,0.2,0.15,2025-12-19,USDCNY.IB,16:00:00
7D,25D RR,-0.6,-0.3,-0.45,2025-12-19,USDCNY.IB,16:00:00
7D,25D Call,1.25,2.05,1.65,2025-12-19,USDCNY.IB,16:00:00
7D,10D RR,-1.8,-0.6,-1.2,2025-12-19,USDCNY.IB,16:00:00
90D,25D BF,0.234,0.234,0.234,2025-12-19,USDCNY.IB,16:00:00
90D,25D RR,-0.565,-0.565,-0.565,2025-12-19,USDCNY.IB,16:00:00
90D,25D Put,2.9165,2.9165,2.9165,2025-12-19,USDCNY.IB,16:00:00
90D,10D Call,2.525,2.525,2.525,2025-12-19,USDCNY.IB,16:00:00
90D,10D Put,3.325,3.325,3.325,2025-12-19,USDCNY.IB,16:00:00
90D,25D Call,2.3515,2.3515,2.3515,2025-12-19,USDCNY.IB,16:00:00
90D,10D RR,-0.8,-0.8,-0.8,2025-12-19,USDCNY.IB,16:00:00
90D,ATM,2.4,2.4,2.4,2025-12-19,USDCNY.IB,16:00:00
90D,10D BF,0.525,0.525,0.525,2025-12-19,USDCNY.IB,16:00:00
